time,open,high,low,close,tick_volume,spread,real_volume
1741373760,88733.47,88882.44,88697.31,88728.87,429,140,0
1741373820,88719.96,88719.97,88558.54,88558.54,379,140,0
1741373880,88556.43,88689.61,88509.94,88550.32,321,140,0
1741373940,88549.13,88638.2,88545.2,88624.15,347,140,0
1741374000,88624.2,88873.83,88565.4,88804.32,431,140,0
1741374060,88816.98,88936.81,88736.86,88846.4,426,140,0
1741374120,88846.4,88936.45,88741.37,88882.19,438,140,0
1741374180,88882.49,88901.25,88706.18,88714.68,449,140,0
1741374240,88717.11,88754.63,88639.04,88740.94,425,140,0
1741374300,88740.83,88833.42,88671.84,88711.18,424,140,0
1741374360,88710.52,88726.16,88254.39,88361.72,501,140,0
1741374420,88361.72,88453.48,88265.21,88347.72,525,140,0
1741374480,88349.26,88415.88,88244.47,88344.52,497,140,0
1741374540,88341.32,88341.81,88188.78,88223.81,465,140,0
1741374600,88223.8,88378.63,88217.46,88268.27,497,140,0
1741374660,88267.97,88458.79,88261.46,88366.52,422,140,0
1741374720,88366.65,88429.4,88278.24,88346.11,435,140,0
1741374780,88345.74,88511.9,88345.74,88433.96,367,140,0
1741374840,88433.96,88482.05,88382.62,88457.32,413,140,0
1741374900,88461.48,88468.21,88362.57,88439.73,414,140,0
1741374960,88439.56,88642.9,88432.28,88542.45,460,140,0
1741375020,88543.18,88616.46,88417.82,88507.48,480,140,0
1741375080,88506.16,88509.82,88319.74,88360.61,390,140,0
1741375140,88366.49,88423.22,88292.07,88397.3,437,140,0
1741375200,88397.88,88490.8,88372.03,88441.99,428,140,0
1741375260,88440.84,88446.09,88315.95,88419.08,376,140,0
1741375320,88419.88,88551.3,88393.81,88541.11,431,140,0
1741375380,88540.55,88779.63,88533.82,88754.38,418,140,0
1741375440,88755.46,88755.46,88522.28,88565.47,396,140,0
1741375500,88565.47,88581.63,88420.5,88451.43,404,140,0
1741375560,88450.11,88488.87,88268.64,88326.87,360,140,0
1741375620,88326.52,88356.84,88247.48,88347.64,422,140,0
1741375680,88347.64,88372.63,88257.44,88277.29,364,140,0
1741375740,88277.28,88393.81,88264.19,88307.1,316,140,0
1741375800,88309.75,88382.94,88259.26,88355.38,451,140,0
1741375860,88359.61,88477.47,88304.9,88460.44,421,140,0
1741375920,88460.52,88529.56,88410.33,88438.69,356,140,0
1741375980,88443.14,88443.14,88285.51,88331.38,405,140,0
1741376040,88332.5,88334.29,88189.64,88299.89,448,140,0
1741376100,88299.89,88310.56,88136.94,88157.19,437,140,0
1741376160,88149.12,88195.67,87878.93,88113.35,507,140,0
1741376220,88121.26,88237.94,88085.71,88217.22,392,140,0
1741376280,88218.77,88308.96,88165.22,88285.65,420,140,0
1741376340,88285.09,88293.91,88121.94,88191.14,385,140,0
1741376400,88191.47,88245.78,88133.69,88210.28,392,140,0
1741376460,88205.14,88217.11,88073.58,88104.52,386,140,0
1741376520,88105.75,88155.04,87935.74,88001.59,448,140,0
1741376580,88001.59,88016.94,87817.57,87853.26,422,140,0
1741376640,87846.58,87915.43,87776.49,87915.42,326,140,0
1741376700,87915.42,87929.9,87546.61,87719.0,503,140,0
1741376760,87715.62,87736.79,87582.28,87696.28,457,140,0
1741376820,87696.28,87718.72,87555.77,87652.64,413,140,0
1741376880,87650.87,87657.92,87347.82,87388.38,485,140,0
1741376940,87396.69,87596.44,87373.17,87537.87,477,140,0
1741377000,87537.87,87765.69,87436.05,87742.13,445,140,0
1741377060,87742.13,87763.06,87569.18,87659.77,429,140,0
1741377120,87660.4,87747.03,87570.56,87626.25,448,140,0
1741377180,87626.76,87689.83,87555.29,87660.69,473,140,0
1741377240,87660.44,87710.87,87594.23,87623.89,396,140,0
1741377300,87622.85,87799.34,87622.85,87764.15,423,140,0
1741377360,87762.26,87948.74,87735.45,87781.26,467,140,0
1741377420,87782.16,87836.43,87711.11,87819.76,443,140,0
1741377480,87820.02,87857.05,87736.36,87770.27,333,140,0
1741377540,87771.06,87840.32,87728.98,87834.25,445,140,0
1741377600,87832.14,87939.72,87727.6,87808.24,459,140,0
1741377660,87808.24,87962.76,87747.57,87961.25,435,140,0
1741377720,87963.29,88101.8,87895.06,87934.85,431,140,0
1741377780,87937.91,87996.34,87869.56,87921.91,403,140,0
1741377840,87921.91,87957.43,87862.26,87875.63,409,140,0
1741377900,87874.65,87982.4,87825.4,87949.78,420,140,0
1741377960,87953.09,88130.4,87915.58,88130.4,454,140,0
1741378020,88125.39,88159.69,88056.78,88123.82,441,140,0
1741378080,88123.12,88302.09,88117.42,88232.26,441,140,0
1741378140,88232.25,88286.11,88207.43,88234.32,355,140,0
1741378200,88234.46,88268.03,88106.93,88137.55,419,140,0
1741378260,88136.87,88228.68,88049.68,88122.4,460,140,0
1741378320,88121.64,88182.55,88101.13,88108.27,463,140,0
1741378380,88108.27,88119.08,87902.68,87943.37,407,140,0
1741378440,87941.28,87941.28,87795.19,87851.5,367,140,0
1741378500,87851.35,87883.65,87551.99,87570.11,445,140,0
1741378560,87570.11,87779.26,87561.41,87775.37,387,140,0
1741378620,87761.32,87766.35,87657.09,87742.67,360,140,0
1741378680,87741.22,87875.6,87706.08,87836.25,355,140,0
1741378740,87832.27,87965.06,87812.42,87906.29,375,140,0
1741378800,87906.3,87937.2,87728.65,87736.7,387,140,0
1741378860,87741.89,87820.4,87688.7,87800.12,407,140,0
1741378920,87800.26,87881.1,87707.67,87746.6,348,140,0
1741378980,87746.17,87832.18,87714.63,87781.67,406,140,0
1741379040,87780.99,87816.9,87732.96,87736.82,445,140,0
1741379100,87733.99,87779.44,87536.25,87546.64,411,140,0
1741379160,87546.2,87570.55,87392.62,87414.58,376,140,0
1741379220,87416.77,87590.8,87410.79,87569.66,400,140,0
1741379280,87565.22,87575.05,87445.49,87496.62,332,140,0
1741379340,87495.22,87633.06,87446.19,87529.08,400,140,0
1741379400,87528.96,87715.7,87498.34,87715.7,481,140,0
1741379460,87717.4,87717.4,87578.88,87617.48,395,140,0
1741379520,87617.46,87737.62,87567.12,87590.8,370,140,0
1741379580,87591.45,87736.6,87591.45,87703.55,350,140,0
1741379640,87706.74,87837.44,87654.39,87819.56,373,140,0
1741379700,87819.77,87842.42,87695.4,87720.03,407,140,0
1741379760,87720.03,87751.35,87571.76,87611.94,350,140,0
1741379820,87611.95,87654.26,87081.64,87082.36,529,140,0
1741379880,87082.36,87272.79,87045.8,87157.29,561,140,0
1741379940,87157.52,87201.96,86893.23,87020.76,508,140,0
1741380000,87028.01,87170.14,86959.39,87170.14,466,140,0
1741380060,87169.9,87250.51,87103.25,87250.51,511,140,0
1741380120,87249.55,87389.9,87145.99,87367.42,490,140,0
1741380180,87367.5,87514.44,87356.46,87410.43,447,140,0
1741380240,87410.43,87710.01,87410.42,87661.3,454,140,0
1741380300,87661.3,87818.81,87568.23,87792.48,475,140,0
1741380360,87792.48,87937.25,87624.23,87671.22,493,140,0
1741380420,87674.22,87733.03,87533.23,87570.04,488,140,0
1741380480,87568.92,87637.3,87478.92,87532.92,444,140,0
1741380540,87535.03,87678.93,87522.97,87565.26,428,140,0
1741380600,87565.26,87665.66,87391.52,87647.49,546,140,0
1741380660,87647.77,87903.6,87575.17,87900.22,512,140,0
1741380720,87901.88,88537.49,87885.98,88414.96,659,140,0
1741380780,88414.95,88414.95,88003.47,88126.22,672,140,0
1741380840,88119.52,88212.53,87976.43,88116.62,568,140,0
1741380900,88108.37,88234.06,87957.47,87957.47,605,140,0
1741380960,87961.41,87986.74,86499.35,86660.85,742,140,0
1741381020,86665.18,87255.89,86662.72,87038.74,790,140,0
1741381080,87048.2,87380.24,87034.04,87189.35,690,140,0
1741381140,87188.04,87188.04,86887.05,87016.87,692,140,0
1741381200,87003.44,87386.3,86978.85,87278.65,650,140,0
1741381260,87282.0,87299.55,86829.9,87039.85,587,140,0
1741381320,87039.85,87041.64,86868.96,87002.98,576,140,0
1741381380,87004.81,87110.32,86739.38,86934.35,557,140,0
1741381440,86938.8,87072.54,86883.54,86900.59,530,140,0
1741381500,86898.19,86938.55,86118.01,86160.44,636,140,0
1741381560,86165.21,86199.77,85648.79,86088.49,813,140,0
1741381620,86076.55,86281.97,85582.23,86281.97,799,140,0
1741381680,86278.22,86519.0,86137.24,86490.07,801,140,0
1741381740,86486.06,86510.73,86180.2,86288.45,697,140,0
1741381800,86288.45,86383.74,85869.27,86173.77,690,140,0
1741381860,86168.75,86335.31,85992.65,86204.02,641,140,0
